gene_symbol	GSM1624229	GSM1868813	GSM1868814	GSM1868819	GSM1868820	GSM1868821	GSM1868816	GSM1868810	GSM1624232	GSM1624230	GSM1624236	GSM1868817	GSM1868823	GSM1868818	GSM1624227	GSM1624223	GSM1868822	GSM1868815	GSM1868812	GSM1624235	GSM1624233	GSM1868811	GSM1624225	GSM1624226	GSM1624237	GSM1624222	GSM1624228	GSM1624234	GSM1624231	GSM1624224
C16ORF87	182	1425	44	73	197	19	615	226	135	1034	521	58	96	0	66	900	112	609	179	88	2307	197	1539	2820	23	911	0	123	454	57
C16ORF89	66	4	31	6	0	8	12	19	7	11	15	94	0	0	0	4	16	10	43	15	1	5	21	3	11	11	7	4	1	15
C16ORF90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16ORF91	1213	0	1355	298	0	0	228	1080	0	24	203	0	834	0	217	2043	0	0	1	0	206	0	804	1421	0	2	0	91	0	437
C16ORF92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C16ORF95	46	7	53	8	8	27	3	51	25	9	103	50	22	1239	3	17	19	4	52	23	23	90	25	22	5	10	1	6	106	2
C16ORF96	0	0	4	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0
C17ORF100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17ORF105	365	84	910	65	49	234	48	39	18	67	32	100	64	0	2	34	19	139	64	60	61	29	48	82	37	28	2	0	34	1
C17ORF107	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C17ORF47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C17ORF49	5388	0	67	724	107	1028	3	986	2235	211	109	0	793	0	1357	20	0	837	7	0	456	0	0	659	0	617	0	103	324	198
C17ORF50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17ORF51	0	0	84	6	26	1	4	15	97	36	2	5	0	0	41	4	2	1	22	2530	23	2	0	1	38	3	0	1	0	0
C17ORF53	0	29	0	0	1	0	4	0	1	29	0	0	0	0	0	0	0	919	2323	62	481	0	1644	1	26	169	4138	258	0	0
C17ORF58	572	0	0	848	991	11	7	1334	0	358	254	0	0	0	3	0	0	3	4	0	1079	0	0	0	37	689	0	161	11	325
C17ORF62	107	0	1466	1595	18	85	54	26	66	160	598	20	3	0	360	387	16	13	12	63	65	11	39	98	31	29	174	0	14	767
C17ORF64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17ORF67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C17ORF74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17ORF75	1469	911	267	71	1594	312	81	1870	28	43	55	132	1826	1	24	81	25	41	58	100	59	304	797	133	110	100	108	4	24	0
C17ORF78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17ORF80	4314	0	0	0	47	556	1523	2674	826	1087	451	233	2352	0	0	5	0	124	0	0	1943	1276	1817	163	9	795	0	294	0	94
C17ORF89	28	0	0	31	0	7	0	460	0	108	4	87	0	96	4	11	8	31	0	0	70	12	175	0	10	147	0	6	0	0
C17ORF96	112	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	0
C17ORF97	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17ORF98	8	0	0	0	6	0	0	0	0	0	0	0	0	0	10	0	0	0	0	12	0	0	6	0	0	0	0	0	0	4
C17ORF99	6	1	6	7	1	15	8	7	207	9	6	23	12	1	0	18	5	13	1	5	7	3	8	14	33	32	51	0	12	4
C18ORF21	13	0	0	3	0	0	250	880	0	346	255	346	0	400	249	0	0	0	759	0	659	0	401	20	7	522	0	242	3	1529
C18ORF25	4481	5	3	1266	0	22	848	1023	525	121	873	99	13	0	768	2978	4154	11	17	431	2840	9	8	154	18	855	10	458	1	65
C18ORF32	1802	162	279	609	123	436	66	427	302	141	141	64	261	0	537	404	115	134	103	172	304	669	1082	271	291	191	1	54	80	63
C18ORF54	0	948	0	6	2519	4	595	0	661	231	0	28	0	1	0	769	2858	64	0	0	24	0	229	0	293	0	0	172	0	237
C18ORF63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C18ORF8	468	1	347	46	2048	30	60	0	959	27	5	1488	0	148	1265	18	2	558	23	984	15	5	191	716	8	125	0	197	162	2265
C19ORF12	158	5	33	309	11	9	609	60	1	30	56	9	7	8	383	269	2	485	1	13	203	15	906	62	70	68	3	142	379	2
C19ORF18	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	49	0	0	0	0	0	0	0	0	0	0
C19ORF24	3268	0	0	0	8	1	0	0	119	375	3	0	0	0	48	808	0	120	0	0	394	0	930	11	62	392	0	24	0	183
C19ORF25	496	23	57	774	48	64	611	78	706	4	77	40	11	0	1197	1332	23	24	24	68	1157	24	756	22	44	1450	0	3	5	130
C19ORF33	0	1	0	136	436	0	2	1114	1719	0	0	0	548	511	0	0	214	49	0	0	0	31	0	0	0	0	30	0	0	0
C19ORF35	40	13	38	29	3	72	14	9	28	0	8	183	23	0	0	29	29	2	10	16	10	17	9	1	30	6	1	1	0	24
C19ORF38	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	789	0	0	0	0
C19ORF43	2778	401	706	859	121	0	313	282	706	278	112	174	0	82	1491	105	21	1062	775	259	893	0	1468	924	149	363	566	326	325	422
C19ORF44	69	8	38	14	4	17	6	236	77	93	5	30	143	1	0	877	10	0	37	18	15	19	393	11	42	17	39	32	0	0
C19ORF45	3	12	4	0	0	14	10	21	0	4	0	42	0	2	0	8	0	0	23	15	41	0	36	9	1	0	0	0	0	3
C19ORF47	1310	301	16	13	7	80	8	119	50	22	259	143	17	0	1353	324	9	740	0	15	1090	17	46	31	22	593	36	6	8	98
C19ORF48	10645	3366	2669	3444	3048	6479	4118	6256	11263	1602	2273	1359	5416	68	829	1068	2229	3342	585	4014	7531	2073	14603	6431	128	1293	102	843	1001	4008
C19ORF52	51	3	9	2	2	7	0	241	53	112	24	25	0	1	2	110	0	5	2	337	5	16	1	0	38	0	1	38	0	0
C19ORF53	13429	4039	718	807	2057	1631	658	1721	5650	1759	1190	2927	2030	3454	3016	6009	3235	3287	3494	2152	3880	2097	7803	3344	51	2733	48	1226	502	1734
C19ORF54	1318	2	168	1039	9	99	27	486	30	77	46	51	8	0	12	1	93	6	42	45	38	16	17	3	210	77	1	153	157	58
C19ORF57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19ORF60	616	419	170	290	38	106	99	242	96	25	94	97	170	1	68	698	78	382	3158	112	34	71	75	238	98	80	5	28	326	437
C19ORF66	50	27	124	41	27	47	20	29	18	31	37	63	80	0	23	40	9	10	17	23	16	24	3	20	23	126	0	5	5	0
C19ORF67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
C19ORF68	2	2	0	133	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	108	4	0	139	0	0	0	0	0	0	0
C19ORF70	3171	106	488	69	74	626	71	175	2003	379	279	28	96	8	803	160	8	507	26	35	213	31	1513	65	93	501	124	93	230	29
C19ORF71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19ORF73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19ORF81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19ORF84	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1D	7312	819	1	86	0	138	329	644	2923	1327	311	898	0	2800	206	170	551	1254	1	1523	1116	1231	1028	13	0	1143	0	646	361	0
C1DP1	307	0	0	33	1	0	0	0	267	36	38	0	0	35	0	0	3	57	0	120	76	0	0	0	0	70	0	22	60	0
C1DP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
C1DP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1DP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1DP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1GALT1	1674	166	195	5	5	72	1028	14	36	631	873	83	3	0	68	769	11	393	2	35	548	86	839	8	20	982	3	8	5	323
C1GALT1C1	2996	0	0	0	0	0	289	0	127	873	783	135	0	0	5	1322	0	0	0	1423	830	0	2982	634	78	0	146	153	0	1291
C1GALT1C1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1GALT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1GALT1P2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1GALT1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
C1QA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QB	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QBP	9250	2020	1534	914	3459	1327	370	5715	2862	1997	1055	6961	3744	13441	708	3206	2093	4057	1296	581	2623	559	5074	7004	378	1883	6340	2846	74	1950
C1QBPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QBPP2	0	0	0	0	2	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C1QL3	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	290	0	0	0	0
C1QL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF1	1	12	0	0	0	0	9	0	1	3	0	1	0	0	0	0	1	0	0	0	3	2	5	1	2	0	0	0	4	0
C1QTNF2	34	0	12	0	3	1	3	13	0	3	8	60	0	4	0	2	2	0	39	10	9	13	0	35	1	6	0	0	0	3
C1QTNF3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF3-AMACR	0	0	0	0	0	0	14	0	0	0	0	4	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF6	1416	65	54	16	38	65	41	62	3	13	112	16	4	20	123	67	7	494	230	183	69	64	13	1	27	26	72	95	16	4
C1QTNF7	9	2	0	0	0	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	2	1	22	0	0	7	0
C1QTNF8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C1QTNF9	1	19	0	0	0	0	12	2	0	0	8	0	1	0	25	0	0	0	0	0	0	0	0	0	0	38	0	0	7	0
C1QTNF9B	0	0	0	0	0	0	0	0	0	1	61	2	266	299	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0
C1QTNF9B-AS1	0	0	0	0	0	0	0	0	0	0	0	0	14	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1R	101	3	56	7	0	50	8	19	34	0	32	75	15	0	11	0	0	9	0	36	29	12	15	61	15	20	2	3	0	6
C1RL	1	0	26	24	7	10	0	3	3	0	5	17	7	0	0	0	13	1	0	9	2	109	20	14	8	2	0	0	0	0
C1S	111	1476	78	161	2	32	12	1	7	22	8	27	4	0	23	3	16	29	115	35	56	1076	25	4	25	39	51	249	5	3
C1ORF100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF101	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF105	0	0	0	0	0	0	0	0	0	0	174	0	0	1	0	0	0	840	0	0	4	0	0	0	0	0	0	0	0	0
C1ORF106	417	105	37	404	1	121	748	116	403	87	184	72	1932	445	60	944	8	747	54	1885	11	174	2941	70	45	45	6	121	786	706
C1ORF109	891	442	81	32	503	43	1568	2601	552	1516	1524	23	19	0	561	6	0	398	70	1582	4268	624	3165	23	39	3728	0	25	805	220
C1ORF111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF112	1577	1928	142	73	228	278	1005	292	806	433	185	26	317	223	0	20	179	18	187	94	86	232	1851	453	45	1616	0	8	19	84
C1ORF115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	970	0	9	0	0	0	0	431
C1ORF116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF122	103	51	25	11	163	787	88	177	211	132	42	5	0	40	118	261	13	17	15	0	51	14	37	244	86	205	0	44	45	89
C1ORF123	2144	74	0	20	1213	2	499	0	1212	110	0	0	3	0	1240	1445	362	471	0	0	0	0	1305	2694	35	0	0	313	0	360
C1ORF127	8	1	9	3	5	12	0	8	19	9	2	0	43	0	6	2	8	0	30	0	21	7	2	2	3	6	0	0	4	3
C1ORF131	5102	1688	22	106	1427	28	259	1690	2745	1676	359	60	66	10	854	877	747	364	373	1170	1436	279	3925	1165	101	1807	0	313	355	3
C1ORF141	14	180	1	7	0	22	1	9	3	4	10	0	0	0	0	0	0	0	4	0	3	32	0	0	5	13	0	1	3	0
C1ORF145	0	0	1	0	48	116	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	8	0	0	0	2	0	0	0	0
C1ORF146	13	0	11	2	2	0	0	0	9	1	0	1	3	0	3	0	0	0	0	0	155	0	0	0	6	31	0	0	0	0
C1ORF158	74	8	17	24	20	38	22	55	89	15	9	87	7	0	24	18	24	7	58	58	45	20	57	16	13	34	11	1	23	1
C1ORF159	1196	0	0	0	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	480	2	0	5	23	0	0	0	0	0
C1ORF162	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0
C1ORF167	36	6	33	31	5	103	30	56	45	17	6	50	10	0	18	39	42	6	19	12	20	11	32	1	8	45	13	3	10	8
C1ORF168	92	19	21	39	18	21	224	15	0	3	12	68	22	0	0	0	0	13	67	0	505	3	0	183	18	10	0	1	2	4
C1ORF174	2964	40	21	129	497	228	1649	278	3417	1663	1083	8	27	2204	35	769	437	1350	566	4	2790	578	2723	1039	80	1963	1587	319	429	1975
C1ORF185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF186	753	116	150	58	278	24	112	160	82	87	220	8	17	3	494	336	122	135	449	676	252	86	36	40	15	501	107	54	161	34
C1ORF189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF198	0	0	0	0	0	0	0	0	0	120	0	0	0	0	60	0	0	2	0	0	1071	0	0	0	0	112	0	50	0	0
C1ORF204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF21	1068	0	0	3	0	0	0	0	0	0	3	0	0	0	720	614	0	0	0	0	75	0	1247	1	9	319	0	1	0	16
C1ORF210	19	18	1	32	1	263	6	12	8	1	0	518	10	0	0	4	137	9	0	18	2	1	0	0	0	0	0	3	0	10
C1ORF216	45	12	172	17	0	11	40	29	26	18	18	34	2	0	26	17	20	8	385	32	61	19	428	53	12	21	0	0	25	28
C1ORF226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	2	0	0	0	0	0
C1ORF228	88	0	51	5	15	26	6	39	28	2	0	10	1	0	0	4	16	1	0	1	7	2	0	0	2	20	80	1	1	0
C1ORF234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF27	9194	1091	0	427	0	0	981	14	777	622	1712	1	0	0	527	3132	0	1260	78	4245	1649	107	3338	0	2	348	0	684	659	1082
C1ORF35	1015	0	32	531	5	0	53	1240	287	17	407	2	278	25	444	527	6	187	0	1558	62	0	14	41	170	93	0	57	214	367
C1ORF43	11954	1172	1714	1900	28	5521	1460	2048	4111	2368	416	2670	1444	2524	408	36	14	1705	0	1114	3286	242	5313	1136	39	3081	6	474	405	3000
C1ORF50	41	1	0	251	0	1	1	9	110	2	3	11	272	0	0	0	145	1	0	4	55	7	0	5	2	6	0	139	0	0
C1ORF52	3877	531	17	1240	1236	17	611	1280	442	1848	193	10	762	1	1828	452	1652	898	50	2016	1730	1566	3454	0	29	1317	370	823	767	836
C1ORF53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	0	0	0	389	0	0	0	0
C1ORF56	7418	1021	67	0	0	2650	1534	976	460	1577	110	0	1030	0	88	2768	361	541	923	1085	1229	1090	5532	0	2	1299	1246	415	705	2207
C1ORF61	507	55	98	31	26	243	1123	111	51	224	105	106	161	52	785	72	100	407	76	84	83	53	1325	0	78	453	46	118	27	135
C1ORF64	59	30	31	12	110	49	12	69	77	12	22	22	16	1	12	8	45	11	39	35	21	435	27	4	27	48	0	6	12	4
C1ORF68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ORF74	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1015	0	0	39	0	0	0	0	6	0	0	0	6870	0	0	0
C1ORF87	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
C1ORF94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2	165	76	80	28	99	163	37	97	33	27	4	80	42	24	4	34	49	9	34	13	26	358	35	21	44	23	75	10	2	39
C20ORF141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20ORF144	7	42	4	6	4	10	1	98	0	17	14	7	4	0	0	3	2	0	2	2	18	26	0	0	3	22	0	2	1	4
C20ORF173	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20ORF194	62	1	88	94	2	8	202	759	1717	0	0	0	0	0	1	1	304	1	6	10	1	4	42	0	1	4	0	0	1	0
C20ORF196	15	1	0	2	0	882	164	0	9	262	161	0	1	0	0	408	1371	251	0	21	730	6	4	0	33	0	0	283	0	32
C20ORF202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C20ORF24	3257	372	201	0	211	49	41	664	305	79	651	0	237	1761	1601	1155	239	835	1281	607	1980	91	1660	903	130	2046	0	940	196	539
C20ORF27	3925	5	0	340	898	992	258	2475	57	830	459	0	342	2029	3925	136	0	1437	0	1181	819	0	1956	1059	7	2774	3519	75	403	426
C20ORF85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20ORF96	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	101
C21ORF140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21ORF2	3	0	0	109	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	19	0	3	0	0	62	0	0
C21ORF33	1583	538	0	0	13	0	0	1	183	0	0	28	777	0	0	824	1	53	0	0	0	6	1512	2078	3	0	0	2	0	694
C21ORF58	37	12	11	72	88	4	9	14	10	19	7	29	2	1	1	3	11	97	7	43	19	15	4	155	20	6	1	2	1	343
C21ORF59	4975	86	7	934	2924	1541	277	362	106	3450	1007	315	3159	0	6533	2038	2430	3755	2931	2861	3014	563	4146	0	85	4773	0	533	400	1405
C21ORF62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21ORF91	211	1	0	93	1	0	1163	2697	990	458	186	0	0	3	3	374	32	17	0	488	327	0	0	0	0	856	0	0	0	0
C22ORF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
C22ORF23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	72	0
C22ORF29	971	3	2769	21	5	32	10	48	40	14	424	43	3	0	18	19	24	141	5	31	1411	1371	1494	1059	28	25	0	0	16	0
C22ORF31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22ORF39	928	23	4	41	14	280	79	175	614	341	68	40	128	15	366	59	13	133	70	137	468	104	29	109	23	92	0	8	50	30
C22ORF42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22ORF46	2	12	20	1	1	9	2	0	19	0	2	0	2	0	152	12	0	260	875	2	10	16	165	0	8	135	0	0	5	0
C2CD2	3	17	13	24	0	1	2	1	4	3	13	11	0	0	11	2	13	1	15	71	744	3	41	0	1	58	9	103	0	0
C2CD2L	272	16	101	10	19	102	16	79	198	144	51	10	48	8	1	51	7	23	45	59	65	620	20	143	25	31	6	6	929	10
C2CD3	2917	800	4231	1916	2339	5402	355	6597	1913	663	305	4688	3829	3384	815	344	1407	926	1242	1897	1293	908	891	530	813	1072	2031	138	184	106
C2CD4A	36	0	1	19	3	5	6	21	29	0	0	7	0	38	0	0	0	2	4	16	2	8	3	0	1	22	0	1	0	0
C2CD4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2CD4C	0	10	0	0	0	137	0	26	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0
C2CD4D	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2CD5	0	0	0	1989	127	0	892	2	0	0	0	106	4282	0	0	0	48	0	0	0	0	2300	33	30	6	0	0	0	0	0
C2ORF15	22	8	17	13	0	15	3	25	21	345	30	10	1	0	0	2	4	3	1	13	459	3	22	10	14	5	46	0	4	0
C2ORF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C2ORF27A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF27AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF27AP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF27AP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF42	1	0	0	0	0	0	0	2550	40	0	0	0	0	0	0	0	0	5	0	0	47	0	0	0	0	0	437	12	0	0
C2ORF47	0	1035	0	1061	324	0	0	1	701	622	54	0	6	1	826	3022	0	24	0	885	12	812	1544	258	0	0	0	216	381	1034
C2ORF49	4504	1397	7	65	914	21	488	155	2679	398	363	11	835	1770	19	1525	1484	357	121	523	1235	964	1133	2769	123	1180	1	230	2	1024
C2ORF50	41	4	9	33	43	37	10	54	9	20	30	5	60	3	50	29	0	1	17	28	17	22	15	23	19	37	25	2	5	13
C2ORF54	4	0	0	7	0	0	5	4	31	0	0	0	0	0	0	0	0	0	0	4	50	0	0	0	0	5	0	0	0	0
C2ORF57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF61	1	16	0	4	0	0	27	12	10	20	36	5	0	0	1	98	0	91	0	149	103	35	0	0	13	13	0	19	0	0
C2ORF66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF68	785	208	3163	1184	1053	935	133	136	489	395	98	174	450	103	56	296	429	542	452	2116	657	323	799	286	63	193	238	105	111	225
C2ORF69	765	795	3	969	290	1223	1266	85	953	664	216	2	1110	1	68	1260	886	600	717	699	1262	269	2184	1374	53	13	0	568	118	865
C2ORF69P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF69P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF69P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2ORF69P4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
